Query	MUrl	PUrl	Fidelity_Control	Fidelity_Treatment	InL1WithoutSpaceV	Experiment_InL1WithoutSpaceV
3 часть южного парка	https://images-na.ssl-images-amazon.com/images/S/pv-target-images/efcc832f566b66d2ee5448ace582b792b94d924ab8334168ce7568f3a48fbaa6._RI_V_TTW_.jpg	https://oboyplus.ru/31528-iuznyi-park-kartinki-personazei	0.5	1	False	True
3 часть южного парка	https://i.ytimg.com/vi/3all9jcuhxE/maxresdefault.jpg	https://www.youtube.com/watch?v=3all9jcuhxE	0.5	1	True	True
500x2	https://m.media-amazon.com/images/I/71bhkkh0RfL.jpg	https://snapklik.com/en-ca/product/astro-tools-52sl-500x2-lumen-wirelessly-rechargeable-folding-double-sided-led-slim-light-1-count/08924PW7L2425	0.5	1	True	True
500x2	https://m.media-amazon.com/images/I/41d8sdRMy+L.jpg	https://snapklik.com/en-ca/product/astro-tools-52sl-500x2-lumen-wirelessly-rechargeable-folding-double-sided-led-slim-light-1-count/08924PW7L2425	0.5	1	False	True
bb80 tenis 38 pt	https://d1ql0a3e3j9mcx.cloudfront.net/Custom/Content/Products/50/60/5060_tenis-antiderrapante-soft-works-preto-bb80-soft-works-bb80-pt_m2_637912445073699845.jpg	https://www.episonline.com.br/tenis-antiderrapante-soft-works-preto-bb80-soft-works-bb80-pt-p5060	0.6	1	True	True
bb80 tenis 38 pt	https://softworksepi.com.br/wp-content/uploads/2022/01/BB80-PRETO2-10.png	https://softworksepi.com.br/produtos/tenis-unisex-bb80/	0.6	1	True	True
bb80 tenis 38 pt	https://d1ql0a3e3j9mcx.cloudfront.net/Custom/Content/Products/50/60/5060_tenis-antiderrapante-soft-works-preto-bb80-soft-works-bb80-pt_z2_637912445073023169.jpg	https://www.episonline.com.br/tenis-antiderrapante-soft-works-preto-bb80-soft-works-bb80-pt-p5060	0.6	1	True	True
bb80 tenis 38 pt	https://d1ql0a3e3j9mcx.cloudfront.net/Custom/Content/Products/50/60/5060_tenis-antiderrapante-soft-works-preto-bb80-soft-works-bb80-pt_l1_637912445064950306.jpg	https://www.episonline.com.br/tenis-antiderrapante-soft-works-preto-bb80-soft-works-bb80-pt-p5060	0.6	1	False	True
bb80 tenis 38 pt	https://d1ql0a3e3j9mcx.cloudfront.net/Custom/Content/Products/50/60/5060_tenis-antiderrapante-soft-works-preto-bb80-soft-works-bb80-pt_m2_637912445073023169.jpg	https://www.episonline.com.br/tenis-antiderrapante-soft-works-preto-bb80-soft-works-bb80-pt-p5060	0.6	1	False	True
bb80 tenis 38 pt	https://d1ql0a3e3j9mcx.cloudfront.net/Custom/Content/Products/50/60/5060_tenis-antiderrapante-soft-works-preto-bb80-soft-works-bb80-pt_z2_637912445073699845.jpg	https://www.episonline.com.br/tenis-antiderrapante-soft-works-preto-bb80-soft-works-bb80-pt-p5060	0.6	1	True	True
bb80 tenis 38 pt	https://d1ql0a3e3j9mcx.cloudfront.net/Custom/Content/Products/50/60/5060_tenis-antiderrapante-soft-works-preto-bb80-soft-works-bb80-pt_l2_637912445073023169.jpg	https://www.episonline.com.br/tenis-antiderrapante-soft-works-preto-bb80-soft-works-bb80-pt-p5060	0.6	1	False	True
bb80 tenis 38 pt	https://softworksepi.com.br/wp-content/uploads/2022/01/REF_BB80_PRETO_2.jpg	https://softworksepi.com.br/produtos/tenis-unisex-bb80/	0.6	1	True	True
bb80 tenis 38 pt	https://d1ql0a3e3j9mcx.cloudfront.net/Custom/Content/Products/50/60/5060_tenis-antiderrapante-soft-works-preto-bb80-soft-works-bb80-pt_l2_637912445073699845.jpg	https://www.episonline.com.br/tenis-antiderrapante-soft-works-preto-bb80-soft-works-bb80-pt-p5060	0.6	1	False	True
bb80 tenis 38 pt	https://d1ql0a3e3j9mcx.cloudfront.net/Custom/Content/Products/50/60/5060_tenis-antiderrapante-soft-works-preto-bb80-soft-works-bb80-pt_z1_637912445064950306.jpg	https://www.episonline.com.br/tenis-antiderrapante-soft-works-preto-bb80-soft-works-bb80-pt-p5060	0.6	1	True	True
beyonce tributes tina turner	https://www.hotnewhiphop.com/i/v1/765x510-cover-81-auto/2023/05/Beyonce-Posts-Touching-Tribute-To-Tina-Turner.jpg	https://www.hotnewhiphop.com/681771-beyonce-posts-touching-tribute-tina-turner	0.3529412	1	True	True
beyonce tributes tina turner	https://www.thepinknews.com/wp-content/uploads/2023/05/Beyonce-L-pays-tribute-to-Tina-Turner-R-with-River-Deep-Mountain-High-cover.-Getty_Kevin-Mazur.jpg?resize=1584	https://www.thepinknews.com/2023/05/30/beyonce-tina-turner-renaissance-tour-london-river-deep-mountain-high/	0.3529412	1	False	True
beyonce tributes tina turner	https://www.thepinknews.com/wp-content/uploads/2023/05/Beyonce-L-pays-tribute-to-Tina-Turner-R-with-River-Deep-Mountain-High-cover.-Getty_Kevin-Mazur.jpg?resize=1584	https://www.thepinknews.com/2023/05/30/beyonce-tina-turner-renaissance-tour-london-river-deep-mountain-high/	0.3529412	1	False	True
beyonce tributes tina turner	https://www.thepinknews.com/wp-content/uploads/2023/05/Beyonce-L-pays-tribute-to-Tina-Turner-R-with-River-Deep-Mountain-High-cover.-Getty_Kevin-Mazur.jpg	https://www.thepinknews.com/2023/05/30/beyonce-tina-turner-renaissance-tour-london-river-deep-mountain-high/	0.3529412	1	True	True
beyonce tributes tina turner	https://www.thepinknews.com/wp-content/uploads/2023/05/Beyonce-L-pays-tribute-to-Tina-Turner-R-with-River-Deep-Mountain-High-cover.-Getty_Kevin-Mazur.jpg	https://www.thepinknews.com/2023/05/30/beyonce-tina-turner-renaissance-tour-london-river-deep-mountain-high/	0.3529412	1	True	True
beyonce tributes tina turner	https://www.thepinknews.com/wp-content/uploads/2023/05/Beyonce-L-pays-tribute-to-Tina-Turner-R-with-River-Deep-Mountain-High-cover.-Getty_Kevin-Mazur.jpg?resize=396	https://www.thepinknews.com/2023/05/30/beyonce-tina-turner-renaissance-tour-london-river-deep-mountain-high/	0.3529412	1	False	True
beyonce tributes tina turner	https://www.thepinknews.com/wp-content/uploads/2023/05/Beyonce-L-pays-tribute-to-Tina-Turner-R-with-River-Deep-Mountain-High-cover.-Getty_Kevin-Mazur.jpg?resize=396	https://www.thepinknews.com/2023/05/30/beyonce-tina-turner-renaissance-tour-london-river-deep-mountain-high/	0.3529412	1	False	True
beyonce tributes tina turner	https://i.ytimg.com/vi/Za5VHWCocxE/maxresdefault.jpg	https://www.youtube.com/watch?v=Za5VHWCocxE	0.3529412	1	False	True
beyonce tributes tina turner	https://www.thepinknews.com/wp-content/uploads/2023/05/Beyonce-L-pays-tribute-to-Tina-Turner-R-with-River-Deep-Mountain-High-cover.-Getty_Kevin-Mazur.jpg?resize=792	https://www.thepinknews.com/2023/05/30/beyonce-tina-turner-renaissance-tour-london-river-deep-mountain-high/	0.3529412	1	False	True
beyonce tributes tina turner	https://www.thepinknews.com/wp-content/uploads/2023/05/Beyonce-L-pays-tribute-to-Tina-Turner-R-with-River-Deep-Mountain-High-cover.-Getty_Kevin-Mazur.jpg?resize=792	https://www.thepinknews.com/2023/05/30/beyonce-tina-turner-renaissance-tour-london-river-deep-mountain-high/	0.3529412	1	False	True
beyonce tributes tina turner	https://nypost.com/wp-content/uploads/sites/2/2023/05/GettyImages-84197658-e1685001635681.jpg?quality=75&strip=all&w=1024	https://nypost.com/2023/05/25/beyonce-shares-touching-tribute-to-beloved-queen-tina-turner/	0.3529412	1	False	True
beyonce tributes tina turner	https://wp.hnhh.com/wp-content/uploads/2023/05/Beyonce-Posts-Touching-Tribute-To-Tina-Turner.jpg	https://www.hotnewhiphop.com/681771-beyonce-posts-touching-tribute-tina-turner	0.3529412	1	True	True
